,SRC,DST
1,1001,1021
2,1001,1047
3,1001,1051
4,1001,1085
5,1001,1101
7,1003,1025
8,1003,1053
9,1003,1097
10,1003,1099
11,1003,1129
12,1003,12033
14,1005,1011
15,1005,1045
16,1005,1067
17,1005,1109
18,1005,1113
19,1005,13061
20,1005,13239
21,1005,13259
23,1007,1021
24,1007,1065
25,1007,1073
26,1007,1105
27,1007,1117
28,1007,1125
30,1009,1043
31,1009,1055
32,1009,1073
33,1009,1095
34,1009,1115
35,1009,1127
37,1011,1087
38,1011,1101
39,1011,1109
40,1011,1113
42,1013,1035
43,1013,1039
44,1013,1041
45,1013,1085
46,1013,1099
47,1013,1131
49,1015,1019
50,1015,1029
51,1015,1055
52,1015,1115
53,1015,1121
55,1017,1081
56,1017,1111
57,1017,1123
58,1017,13145
59,1017,13285
61,1019,1029
62,1019,1049
63,1019,1055
64,1019,13055
65,1019,13115
66,1019,13233
68,1021,1037
69,1021,1047
70,1021,1051
71,1021,1105
72,1021,1117
74,1023,1025
75,1023,1091
76,1023,1119
77,1023,1129
78,1023,28023
79,1023,28075
80,1023,28153
82,1025,1091
83,1025,1099
84,1025,1129
85,1025,1131
87,1027,1029
88,1027,1037
89,1027,1111
90,1027,1121
91,1027,1123
93,1029,1111
94,1029,1121
95,1029,13045
96,1029,13143
97,1029,13233
99,1031,1039
100,1031,1041
101,1031,1045
102,1031,1061
103,1031,1109
105,1033,1059
106,1033,1077
107,1033,1079
108,1033,28141
110,1035,1039
111,1035,1053
112,1035,1099
114,1037,1051
115,1037,1117
116,1037,1121
117,1037,1123
119,1039,1041
120,1039,1053
121,1039,1061
122,1039,12091
123,1039,12131
125,1041,1085
126,1041,1101
127,1041,1109
129,1043,1079
130,1043,1095
131,1043,1103
132,1043,1127
133,1043,1133
135,1045,1061
136,1045,1067
137,1045,1069
138,1045,1109
140,1047,1085
141,1047,1091
142,1047,1105
143,1047,1131
145,1049,1055
146,1049,1071
147,1049,1095
148,1049,13055
149,1049,13083
