,SRC,DST
5,1001,1101
8,1003,1053
9,1003,1097
11,1003,1129
12,1003,12033
15,1005,1045
16,1005,1067
17,1005,1109
53,1015,1121
76,1023,1119
77,1023,1129
78,1023,28023
79,1023,28075
88,1027,1037
90,1027,1121
101,1031,1045
103,1031,1109
115,1037,1117
116,1037,1121
131,1043,1103
132,1043,1127
136,1045,1067
137,1045,1069
138,1045,1109
146,1049,1071
148,1049,13055
157,1053,12033
159,1053,12113
164,1057,1075
168,1057,1127
173,1059,28057
174,1059,28141
191,1067,1069
193,1067,13099
195,1069,12063
196,1069,13099
197,1069,13253
199,1071,1089
203,1071,47115
206,1073,1117
208,1073,1127
213,1075,28095
246,1089,1103
261,1097,1129
263,1097,28041
264,1097,28059
268,1101,1109
290,1117,1121
293,1119,28075
302,1129,28041
388,4001,4011
390,4001,8083
391,4001,35003
403,4005,4007
407,4005,49025
421,4011,35003
423,4011,35023
456,5001,5041
460,5001,5095
472,5005,5065
473,5005,5089
474,5005,5129
476,5005,29153
487,5009,5089
489,5009,5129
490,5009,29213
497,5013,5025
498,5013,5039
499,5013,5103
517,5019,5039
518,5019,5059
521,5019,5103
522,5019,5109
533,5023,5141
534,5023,5145
536,5025,5039
537,5025,5043
556,5031,5067
562,5033,5047
563,5033,5087
565,5033,5143
566,5033,40001
585,5039,5059
586,5039,5103
588,5041,5043
591,5041,28011
602,5047,5083
603,5047,5087
612,5051,5059
615,5051,5125
627,5057,5061
628,5057,5073
629,5057,5081
632,5057,5109
635,5059,5125
637,5061,5081
639,5061,5109
640,5061,5113
650,5065,5135
655,5067,5145
656,5067,5147
675,5077,5095
678,5077,28143
683,5081,40089
684,5081,48037
686,5083,5115
687,5083,5127
696,5087,5143
698,5089,5129
699,5089,29153
700,5089,29213
718,5095,5147
741,5109,5113
744,5113,5127
746,5113,40079
747,5113,40089
749,5115,5129
750,5115,5141
758,5121,5135
759,5121,29149
767,5127,40079
770,5129,5141
777,5135,29149
786,5143,40001
788,5145,5147
811,6007,6011
812,6007,6021
813,6007,6063
818,6009,6077
819,6009,6099
820,6009,6109
822,6011,6021
